"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 25, 2019","5,209.1","5,415.6","5,528.2","5,137.4","955.36K","-3.81%"
"Apr 24, 2019","5,415.6","5,511.2","5,589.6","5,346.8","994.04K","-1.74%"
"Apr 23, 2019","5,511.6","5,346.5","5,594.4","5,291.4","900.00K","3.08%"
"Apr 22, 2019","5,346.7","5,248.2","5,370.2","5,170.2","920.77K","1.97%"
"Apr 21, 2019","5,243.5","5,290.2","5,308.2","5,189.8","811.41K","-0.88%"
"Apr 20, 2019","5,290.2","5,241.0","5,327.0","5,240.2","782.32K","0.94%"
"Apr 19, 2019","5,241.0","5,264.8","5,282.4","5,192.1","787.09K","-0.45%"
"Apr 18, 2019","5,264.7","5,208.3","5,293.1","5,205.0","727.97K","1.08%"
"Apr 17, 2019","5,208.3","5,182.1","5,230.9","5,165.5","806.52K","0.53%"
"Apr 16, 2019","5,180.9","5,031.4","5,198.4","5,014.4","631.05K","2.95%"
"Apr 15, 2019","5,032.3","5,135.1","5,168.0","4,964.2","688.20K","-2.00%"
"Apr 14, 2019","5,134.8","5,052.0","5,153.5","5,010.7","566.38K","1.64%"
"Apr 13, 2019","5,051.8","5,054.2","5,093.4","5,011.6","577.16K","-0.05%"
"Apr 12, 2019","5,054.2","5,022.7","5,080.5","4,889.2","779.14K","0.63%"
"Apr 11, 2019","5,022.6","5,307.7","5,337.0","4,948.0","943.49K","-5.37%"
"Apr 10, 2019","5,307.8","5,158.4","5,404.1","5,142.9","837.51K","2.89%"
"Apr 09, 2019","5,158.4","5,245.0","5,245.9","5,095.2","784.62K","-1.65%"
"Apr 08, 2019","5,245.2","5,173.5","5,300.6","5,060.5","928.23K","1.38%"
"Apr 07, 2019","5,173.6","5,046.1","5,219.5","5,033.7","841.27K","2.53%"
"Apr 06, 2019","5,046.2","5,010.0","5,198.4","4,947.9","952.18K","0.72%"
"Apr 05, 2019","5,010.2","4,902.5","5,029.4","4,888.3","851.72K","2.20%"
"Apr 04, 2019","4,902.4","4,968.7","5,042.5","4,789.2","1.05M","-1.33%"
"Apr 03, 2019","4,968.7","4,859.3","5,278.4","4,814.0","13.83M","2.25%"
"Apr 02, 2019","4,859.3","4,145.1","4,899.6","4,143.5","14.77M","17.23%"
"Apr 01, 2019","4,145.1","4,102.3","4,159.1","4,076.8","3.22M","1.04%"
"Mar 31, 2019","4,102.3","4,111.8","4,121.9","4,082.2","2.43M","-0.23%"
"Mar 30, 2019","4,111.8","4,103.7","4,138.1","4,057.1","2.55M","0.23%"
"Mar 29, 2019","4,102.2","4,025.7","4,123.1","4,022.6","3.30M","1.90%"
"Mar 28, 2019","4,025.6","4,041.7","4,041.7","4,008.4","2.11M","-0.40%"
"Mar 27, 2019","4,041.7","3,942.8","4,043.3","3,936.2","2.78M","2.51%"
"Mar 26, 2019","3,942.8","3,937.1","3,950.7","3,899.9","2.53M","0.15%"
"Mar 25, 2019","3,937.0","3,994.8","4,000.5","3,897.9","2.86M","-1.44%"
"Mar 24, 2019","3,994.7","4,002.6","4,005.7","3,967.0","2.04M","-0.20%"
"Mar 23, 2019","4,002.5","3,990.4","4,018.2","3,980.8","2.00M","0.30%"
"Mar 22, 2019","3,990.4","3,982.2","4,005.7","3,971.8","2.83M","0.21%"
"Mar 21, 2019","3,982.2","4,041.2","4,064.0","3,923.8","3.88M","-1.46%"
"Mar 20, 2019","4,041.2","4,017.0","4,050.0","3,985.3","3.18M","0.60%"
"Mar 19, 2019","4,017.0","3,990.2","4,029.9","3,972.4","2.99M","0.67%"
"Mar 18, 2019","3,990.2","3,981.5","4,032.3","3,958.5","2.62M","0.22%"
"Mar 17, 2019","3,981.5","4,006.4","4,009.8","3,956.3","1.87M","-0.62%"
"Mar 16, 2019","4,006.4","3,924.4","4,050.6","3,923.7","3.46M","2.09%"
"Mar 15, 2019","3,924.3","3,879.0","3,935.7","3,874.8","3.11M","1.17%"
"Mar 14, 2019","3,879.0","3,865.1","3,914.7","3,828.4","2.86M","0.36%"
"Mar 13, 2019","3,865.1","3,885.9","3,894.7","3,847.4","2.28M","-0.54%"
"Mar 12, 2019","3,886.0","3,870.3","3,900.1","3,817.1","2.90M","0.41%"
"Mar 11, 2019","3,870.3","3,915.2","3,935.5","3,842.4","3.19M","-1.15%"
"Mar 10, 2019","3,915.2","3,944.4","3,944.5","3,889.2","1.89M","-0.74%"
"Mar 09, 2019","3,944.3","3,865.6","3,964.0","3,859.7","2.48M","2.03%"
"Mar 08, 2019","3,865.9","3,875.1","3,929.0","3,810.7","2.96M","-0.24%"
"Mar 07, 2019","3,875.1","3,863.1","3,907.4","3,847.9","2.60M","0.32%"
"Mar 06, 2019","3,863.0","3,857.2","3,887.3","3,816.7","2.52M","0.15%"
"Mar 05, 2019","3,857.2","3,715.9","3,873.2","3,705.7","3.82M","3.80%"
"Mar 04, 2019","3,715.9","3,809.7","3,828.4","3,681.8","2.85M","-2.45%"
